task,model_id,tokenizer_revision,planned_input_tokens_mean,planned_input_tokens_p50,planned_input_tokens_p90,planned_input_tokens_p95,planned_input_tokens_min,planned_input_tokens_max,planned_input_tokens_std
lm-arena-chat,Qwen/Qwen3-14B,40c069824f4251a91eefaf281ebe4c544efd3e18,634.6435546875,95.5,2156.7000000000016,2999.3999999999996,1.0,9740.0,1122.6646067440631
lm-arena-chat,Qwen/Qwen3-235B-A22B-Instruct-2507,ac9c66cc9b46af7306746a9250f23d47083d689e,634.6435546875,95.5,2156.7000000000016,2999.3999999999996,1.0,9740.0,1122.6646067440631
lm-arena-chat,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,e156cb4efae43fbee1a1ab073f946a1377e6b969,634.6435546875,95.5,2156.7000000000016,2999.3999999999996,1.0,9740.0,1122.6646067440631
lm-arena-chat,Qwen/Qwen3-30B-A3B-Instruct-2507,0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,634.6435546875,95.5,2156.7000000000016,2999.3999999999996,1.0,9740.0,1122.6646067440631
lm-arena-chat,Qwen/Qwen3-32B,9216db5781bf21249d130ec9da846c4624c16137,634.6435546875,95.5,2156.7000000000016,2999.3999999999996,1.0,9740.0,1122.6646067440631
lm-arena-chat,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,634.6435546875,95.5,2156.7000000000016,2999.3999999999996,1.0,9740.0,1122.6646067440631
lm-arena-chat,deepseek-ai/DeepSeek-V3.1,c0781d039fb7a1ba2abc4add0bdc293e92d2b8db,645.9287109375,93.0,2186.7000000000016,2982.7999999999993,2.0,8711.0,1177.4765820869568
lm-arena-chat,nvidia/NVIDIA-Nemotron-Nano-12B-v2,f428df0ec725fed457b89cfca54dc26500fb88c1,663.7724609375,97.5,2246.7,3127.7499999999986,2.0,9853.0,1170.049396319462
lm-arena-chat,nvidia/NVIDIA-Nemotron-Nano-9B-v2,6533e8de2c68e4536bf7c411d7a3ce5734111476,663.7724609375,97.5,2246.7,3127.7499999999986,2.0,9853.0,1170.049396319462
sourcegraph-fim,Qwen/Qwen3-Coder-30B-A3B-Instruct,b2cff646eb4bb1d68355c01b18ae02e7cf42d120,1374.072265625,1203.5,2428.1000000000004,2797.5499999999997,65.0,5005.0,738.875240978343
sourcegraph-fim,Qwen/Qwen3-Coder-480B-A35B-Instruct,9d90cf8fca1bf7b7acca42d3fc9ae694a2194069,1374.072265625,1203.5,2428.1000000000004,2797.5499999999997,65.0,5005.0,738.875240978343
sourcegraph-fim,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,003f183a92fbe5b9a8325aaa8b2ae797c91dd90f,1374.072265625,1203.5,2428.1000000000004,2797.5499999999997,65.0,5005.0,738.875240978343
