run_key,task,model_id,physics_status,physics_missing_reason,prefill_projection_flop_proxy,prefill_attention_flop_proxy,prefill_mlp_flop_proxy,prefill_total_flop_proxy,decode_output_cap_tokens_per_request,decode_upper_bound_flop_proxy,kv_cache_prefill_sum_bytes,kv_cache_prefill_max_request_bytes,kv_cache_output_cap_sum_bytes,weight_bytes_total,prefill_total_flop_proxy_per_gpu_ideal,decode_upper_bound_flop_proxy_per_gpu_ideal,kv_cache_prefill_sum_bytes_per_gpu_ideal,weight_bytes_per_gpu_ideal,model_parallel_gpus_per_replica,kv_bytes_per_element,shared_expert_term_included
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-14B,available,,463624942387200.0,32461640499200.0,1970406005145600.0,2466492588032000.0,32768.0,5.195233243430912e+17,15091957760.0,456294400.0,2141100769280.0,28000000000.0,2466492588032000.0,5.195233243430912e+17,15091957760.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-14B,available,,695437413580800.0,48692460748800.0,2955609007718400.0,3699738882048000.0,32768.0,7.792849865146368e+17,22637936640.0,456294400.0,3211651153920.0,28000000000.0,3699738882048000.0,7.792849865146368e+17,22637936640.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":512,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-14B,available,,695437413580800.0,48692460748800.0,2955609007718400.0,3699738882048000.0,32768.0,7.792849865146368e+17,22637936640.0,456294400.0,3211651153920.0,28000000000.0,3699738882048000.0,7.792849865146368e+17,22637936640.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,231812471193600.0,16230820249600.0,985203002572800.0,1233246294016000.0,32768.0,2.597616621715456e+17,7545978880.0,456294400.0,1070550384640.0,28000000000.0,1233246294016000.0,2.597616621715456e+17,7545978880.0,28000000000.0,1.0,2.0,False
