run_key,task,model_id,effective_status,effective_missing_reason,chat_content_format,chat_template_sha256,system_prompt_sha256,chat_template_kwargs_json,base_effective_lengths_sha256,effective_request_count,effective_total_input_tokens,effective_input_tokens_mean,effective_input_tokens_p50,effective_input_tokens_p90,effective_input_tokens_p95,effective_input_tokens_min,effective_input_tokens_max,effective_input_tokens_std,effective_sum_input_tokens_squared
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":256,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":2}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,396.0,92114.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,39626026.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":32,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":384,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,594.0,138171.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,59439039.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":512,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":3}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,594.0,138171.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,59439039.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":64,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""B200"",""num_gpus"":1,""max_num_seqs"":8,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":128,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
"{""task"":""gpqa"",""model_id"":""Qwen/Qwen3-14B"",""gpu_model"":""H100"",""num_gpus"":1,""max_num_seqs"":16,""tensor_parallel"":1,""expert_parallel"":1,""data_parallel"":1,""seed"":48105,""num_request_repeats"":1}",gpqa,Qwen/Qwen3-14B,available,,string,a55ee1b1660128b7098723e0abcd92caa0788061051c62d51cbe87d9cf1974d8,,"{""enable_thinking"": true}",92db2319450a47dffd0ca08327810bc8cd53fb32eed7e1d08a0ce5601fc31199,198.0,46057.0,232.61111111111111,197.0,355.20000000000005,442.15,58.0,2785.0,214.37768822775504,19813013.0
